ImageId,Label1,1
2,1
3,1
4,4
5,1
6,7
7,0
8,1
9,6
10,1
11,1
12,1
13,1
14,0
15,6
16,1
17,6
18,1
19,1
20,1
21,6
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,6
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,4
43,6
44,6
45,6
46,7
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,6
61,1
62,1
63,1
64,6
65,0
66,6
67,1
68,1
69,6
70,1
71,6
72,1
73,1
74,1
75,1
76,6
77,1
78,1
79,1
80,1
81,1
82,6
83,1
84,1
85,1
86,1
87,6
88,6
89,6
90,1
91,1
92,6
93,1
94,1
95,1
96,1
97,1
98,1
99,4
100,1
101,6
102,6
103,1
104,6
105,7
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,6
130,1
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,6
142,1
143,1
144,1
145,1
146,6
147,7
148,1
149,1
150,1
151,1
152,1
153,6
154,1
155,6
156,1
157,1
158,1
159,7
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,6
169,4
170,0
171,6
172,6
173,1
174,6
175,1
176,1
177,1
178,1
179,1
180,1
181,6
182,1
183,1
184,1
185,6
186,1
187,1
188,1
189,1
190,0
191,6
192,1
193,4
194,6
195,6
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,6
204,1
205,1
206,1
207,1
208,6
209,1
210,1
211,6
212,1
213,1
214,1
215,1
216,1
217,1
218,6
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,6
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,6
253,1
254,1
255,1
256,6
257,1
258,1
259,1
260,1
261,6
262,1
263,1
264,1
265,1
266,1
267,6
268,6
269,1
270,1
271,1
272,6
273,6
274,1
275,1
276,6
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,1
285,1
286,1
287,6
288,1
289,6
290,1
291,1
292,1
293,1
294,1
295,1
296,6
297,1
298,6
299,1
300,1
301,6
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
